                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    154,                0.36263,                0.27187,                0.85621,                 0.9677,                0.96114,                0.98984,                0.94328,                0.35328,                 0.2624,                0.79181,              0.0004045,              0.0004045,              0.0004045
                    155,                0.37511,                0.28032,                0.86135,                0.96741,                0.96138,                0.99036,                0.94742,                0.34743,                0.26058,                0.79159,             0.00039625,             0.00039625,             0.00039625
                    156,                0.35924,                0.27936,                0.85063,                0.95948,                0.97887,                0.98985,                 0.9457,                0.35858,                0.24852,                0.79159,             0.00038799,             0.00038799,             0.00038799
                    157,                0.34575,                0.26639,                0.85564,                0.95723,                0.97183,                0.98844,                0.94873,                0.35912,                0.25256,                0.79084,             0.00037974,             0.00037974,             0.00037974
                    158,                0.35346,                0.26461,                0.85028,                0.95593,                0.97603,                 0.9878,                0.94482,                0.36533,                0.26202,                 0.7928,             0.00037149,             0.00037149,             0.00037149
                    159,                0.36505,                0.25477,                0.85213,                0.96854,                0.97183,                0.98988,                0.94586,                0.36453,                0.24761,                0.79228,             0.00036324,             0.00036324,             0.00036324
                    160,                0.35645,                0.26788,                0.84862,                0.95443,                0.97475,                0.98933,                0.94536,                0.37228,                0.25272,                 0.7945,             0.00035499,             0.00035499,             0.00035499
                    161,                0.35929,                0.26833,                0.84876,                0.95438,                0.96818,                0.98875,                0.94576,                0.37291,                0.25236,                0.79568,             0.00034674,             0.00034674,             0.00034674
                    162,                0.34625,                 0.2564,                 0.8544,                0.94726,                0.96279,                0.98655,                0.94518,                0.35799,                0.25559,                0.79123,             0.00033848,             0.00033848,             0.00033848
                    163,                0.35615,                0.26646,                0.84238,                0.93968,                0.96789,                0.98739,                0.94505,                0.35485,                0.25607,                 0.7884,             0.00033023,             0.00033023,             0.00033023
                    164,                0.34048,                0.25196,                0.85055,                0.94199,                0.96818,                0.98816,                0.94701,                  0.354,                0.24516,                0.78809,             0.00032198,             0.00032198,             0.00032198
                    165,                0.34936,                0.26297,                0.85102,                 0.9403,                0.97297,                0.98733,                0.94417,                0.37363,                0.25231,                0.79294,             0.00031373,             0.00031373,             0.00031373
                    166,                0.35921,                0.26428,                0.84958,                0.93366,                0.97379,                0.98703,                0.94554,                0.36722,                0.25362,                0.79413,             0.00030548,             0.00030548,             0.00030548
                    167,                0.35052,                0.25913,                0.84783,                0.94149,                0.97101,                0.98764,                0.94508,                0.35947,                0.25793,                 0.7909,             0.00029723,             0.00029723,             0.00029723
                    168,                0.34224,                0.25071,                 0.8406,                0.95062,                0.96818,                0.98858,                0.94485,                0.35956,                0.24999,                0.79088,             0.00028897,             0.00028897,             0.00028897
                    169,                0.32203,                0.24598,                0.84318,                 0.9504,                0.96932,                0.98828,                0.94499,                0.35285,                0.24666,                0.78889,             0.00028072,             0.00028072,             0.00028072
                    170,                0.32614,                0.24922,                0.83784,                0.95902,                0.96803,                 0.9879,                 0.9452,                0.35293,                0.24079,                 0.7881,             0.00027247,             0.00027247,             0.00027247
                    171,                0.33993,                0.26364,                0.84648,                 0.9591,                0.96587,                0.98793,                  0.945,                0.34965,                0.22799,                0.78931,             0.00026422,             0.00026422,             0.00026422
                    172,                0.33988,                0.25576,                0.83618,                0.95446,                0.96741,                 0.9882,                 0.9396,                0.35149,                0.23427,                0.78912,             0.00025597,             0.00025597,             0.00025597
                    173,                0.32833,                0.23731,                 0.8436,                0.95331,                0.96708,                0.98816,                0.94718,                0.35845,                0.23627,                 0.7902,             0.00024772,             0.00024772,             0.00024772
                    174,                0.33874,                0.25431,                0.85089,                 0.9662,                0.95871,                0.98956,                0.94755,                0.35425,                0.23771,                 0.7901,             0.00023946,             0.00023946,             0.00023946
                    175,                0.33183,                0.25277,                0.84864,                0.95879,                0.95602,                0.99013,                0.95052,                0.35195,                0.23296,                0.79055,             0.00023121,             0.00023121,             0.00023121
                    176,                0.32597,                0.24911,                0.84138,                0.94989,                0.97315,                 0.9901,                0.94801,                0.35387,                0.22716,                0.79118,             0.00022296,             0.00022296,             0.00022296
                    177,                0.33598,                0.24553,                0.84317,                0.94999,                0.97671,                0.98984,                0.94898,                0.35199,                0.22845,                0.79037,             0.00021471,             0.00021471,             0.00021471
                    178,                0.32772,                0.24306,                0.84152,                0.95016,                0.97348,                0.98994,                  0.949,                0.35517,                0.23162,                0.79072,             0.00020646,             0.00020646,             0.00020646
                    179,                0.32089,                0.23564,                0.84213,                0.98757,                0.94468,                0.99004,                0.95294,                0.35951,                0.23054,                0.79142,             0.00019821,             0.00019821,             0.00019821
                    180,                0.33657,                 0.2423,                0.84481,                0.98146,                 0.9446,                0.98969,                0.94985,                0.35887,                0.23226,                0.79137,             0.00018995,             0.00018995,             0.00018995
                    181,                 0.3292,                0.23752,                0.84505,                0.97656,                0.94581,                0.98961,                0.94929,                0.35978,                0.23371,                0.79283,              0.0001817,              0.0001817,              0.0001817
                    182,                0.32535,                0.25417,                0.84689,                0.94966,                 0.9757,                0.98953,                0.94913,                0.35817,                0.23267,                0.79379,             0.00017345,             0.00017345,             0.00017345
                    183,                0.33774,                0.24311,                0.84761,                0.96194,                0.96479,                0.98908,                0.94955,                0.36018,                0.23992,                 0.7937,              0.0001652,              0.0001652,              0.0001652
                    184,                0.32465,                0.24416,                0.84034,                0.96206,                0.96479,                0.98947,                0.95129,                0.35461,                 0.2343,                0.79297,             0.00015695,             0.00015695,             0.00015695
                    185,                0.32444,                0.23619,                0.84249,                0.95233,                0.97183,                0.98944,                0.94869,                0.35241,                0.23627,                0.79268,              0.0001487,              0.0001487,              0.0001487
                    186,                0.32237,                0.23789,                0.83735,                0.96605,                0.95612,                0.98895,                0.94678,                0.35256,                0.24042,                0.79108,             0.00014044,             0.00014044,             0.00014044
                    187,                 0.3145,                0.23899,                0.83975,                0.94567,                0.98318,                0.98923,                0.94861,                0.35304,                0.23308,                0.78861,             0.00013219,             0.00013219,             0.00013219
                    188,                0.31978,                0.23246,                0.83978,                0.94555,                0.98113,                0.98908,                0.94848,                0.34846,                0.24058,                  0.787,             0.00012394,             0.00012394,             0.00012394
                    189,                0.31925,                0.23582,                0.83404,                0.95206,                0.97522,                0.98826,                0.94885,                0.34825,                0.24027,                0.78619,             0.00011569,             0.00011569,             0.00011569
                    190,                0.32313,                0.23622,                0.83806,                0.96668,                0.97467,                0.98857,                0.95259,                0.35027,                 0.2366,                 0.7863,             0.00010744,             0.00010744,             0.00010744
                    191,                0.30434,                0.21692,                0.82155,                0.96732,                0.97334,                  0.989,                0.94814,                0.34771,                 0.2393,                0.78698,             9.9187e-05,             9.9187e-05,             9.9187e-05
                    192,                0.30102,                0.21283,                0.81636,                0.96612,                0.96904,                0.99028,                0.94889,                 0.3461,                0.23294,                0.78732,             9.0935e-05,             9.0935e-05,             9.0935e-05
                    193,                0.29656,                0.21549,                0.82413,                0.97493,                0.97066,                0.99072,                0.95035,                0.34552,                0.22858,                 0.7872,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    194,                 0.2885,                0.20109,                0.82001,                0.97216,                0.97183,                0.99053,                 0.9489,                  0.349,                0.23148,                0.78824,             7.4432e-05,             7.4432e-05,             7.4432e-05
                    195,                0.28707,                0.20006,                0.81793,                0.97084,                0.97183,                0.99046,                0.94881,                0.34968,                 0.2352,                0.79043,              6.618e-05,              6.618e-05,              6.618e-05
                    196,                0.29368,                0.20605,                0.82041,                0.97376,                 0.9766,                0.98982,                 0.9468,                0.35131,                0.23705,                0.79203,             5.7928e-05,             5.7928e-05,             5.7928e-05
                    197,                0.28884,                0.20776,                0.82925,                0.97437,                0.97574,                0.98982,                0.94568,                0.35184,                0.23822,                0.79173,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    198,                  0.296,                0.20632,                0.82972,                0.96127,                0.97004,                0.98955,                0.94604,                0.35368,                0.23871,                0.79215,             4.1425e-05,             4.1425e-05,             4.1425e-05
                    199,                 0.2862,                0.20024,                0.82781,                0.95345,                0.97691,                 0.9895,                0.94409,                0.35394,                0.23786,                0.79167,             3.3173e-05,             3.3173e-05,             3.3173e-05
